Date,delta,alpha,ancestral,beta,low,high
2020-03-01,0,0,1,0.05703967,0.008904271,0.1504359
2020-04-01,0,0,1,0.05703967,0.008904271,0.1504359
2020-05-01,0,0,1,0.05703967,0.008904271,0.1504359
2020-06-01,0,0,1,0.05703967,0.008904271,0.1504359
2020-07-01,0,0,1,0.05703967,0.008904271,0.1504359
2020-08-01,0,0,1,0.05703967,0.008904271,0.1504359
2020-09-01,0,0.00421941,0.99578059,0.05716000687699735,0.008923056385050055,0.15075327537040953
2020-10-01,0,0,1,0.05703967,0.008904271,0.1504359
2020-11-01,0.00739645,0.00443787,0.98816568,0.0577990739209087,0.00902281899142831,0.15243874490259904
2020-12-01,0,0.01878453,0.98121547,0.05757540169615255,0.008987902272863816,0.15184883383831352
2021-01-01,0.00762943,0.02125341,0.97111717,0.05829858457101619,0.00910079591864306,0.15375614968787402
2021-02-01,0.01226158,0.11852861,0.86920981,0.06146918111529725,0.009595747079158924,0.16211825179463252
2021-03-01,0.07962213,0.26855601,0.65182186,0.07151127312330399,0.011163384280535198,0.18860317271208
2021-04-01,0.46842358,0.09550967,0.43606675,0.09984167966443236,0.015585948741065557,0.26332152584035956
2021-05-01,0.67112299,0.00708556,0.32179144,0.11466269925020585,0.017899608250106103,0.30241034631045455
2021-06-01,0.66131248,0.00179647,0.33689105,0.11367247346710485,0.017745027434264805,0.2997987339556845
2021-07-01,0.65407555,0,0.34592445,0.11300205029060274,0.017640369927511074,0.29803056604836753
2021-08-01,0.69046226,0,0.30953774,0.1161152791867813,0.01812636561746869,0.30624136724870105
2021-09-01,0.71822136,0,0.28177864,0.1184903340420268,0.01849712744114284,0.312505315036236
2021-10-01,1,0,0,0.142599175,0.0222606775,0.37608975000000006
